"Column Name","Label"
"S0101_C01_023M","Total!!Margin of Error!!SELECTED AGE CATEGORIES!!15 to 44 years"
"S0101_C01_023MA","Annotation of Total!!Margin of Error!!SELECTED AGE CATEGORIES!!15 to 44 years"
"S0101_C01_023EA","Annotation of Total!!Estimate!!SELECTED AGE CATEGORIES!!15 to 44 years"
"S0101_C02_023E","Male!!Estimate!!SELECTED AGE CATEGORIES!!15 to 44 years"
"S0101_C02_023EA","Annotation of Male!!Estimate!!SELECTED AGE CATEGORIES!!15 to 44 years"
"S0101_C02_023M","Male!!Margin of Error!!SELECTED AGE CATEGORIES!!15 to 44 years"
"S0101_C02_023MA","Annotation of Male!!Margin of Error!!SELECTED AGE CATEGORIES!!15 to 44 years"
"S0101_C03_023E","Female!!Estimate!!SELECTED AGE CATEGORIES!!15 to 44 years"
"S0101_C03_023M","Female!!Margin of Error!!SELECTED AGE CATEGORIES!!15 to 44 years"
"S0101_C03_023MA","Annotation of Female!!Margin of Error!!SELECTED AGE CATEGORIES!!15 to 44 years"
"S0101_C03_023EA","Annotation of Female!!Estimate!!SELECTED AGE CATEGORIES!!15 to 44 years"
"S0101_C01_024E","Total!!Estimate!!SELECTED AGE CATEGORIES!!16 years and over"
"S0101_C01_024M","Total!!Margin of Error!!SELECTED AGE CATEGORIES!!16 years and over"
"S0101_C01_024MA","Annotation of Total!!Margin of Error!!SELECTED AGE CATEGORIES!!16 years and over"
"S0101_C01_024EA","Annotation of Total!!Estimate!!SELECTED AGE CATEGORIES!!16 years and over"
"S0101_C02_024E","Male!!Estimate!!SELECTED AGE CATEGORIES!!16 years and over"
"S0101_C02_024M","Male!!Margin of Error!!SELECTED AGE CATEGORIES!!16 years and over"
"S0101_C02_024MA","Annotation of Male!!Margin of Error!!SELECTED AGE CATEGORIES!!16 years and over"
"S0101_C02_024EA","Annotation of Male!!Estimate!!SELECTED AGE CATEGORIES!!16 years and over"
"S0101_C03_024E","Female!!Estimate!!SELECTED AGE CATEGORIES!!16 years and over"
"S0101_C03_024M","Female!!Margin of Error!!SELECTED AGE CATEGORIES!!16 years and over"
"S0101_C03_024MA","Annotation of Female!!Margin of Error!!SELECTED AGE CATEGORIES!!16 years and over"
"S0101_C03_024EA","Annotation of Female!!Estimate!!SELECTED AGE CATEGORIES!!16 years and over"
"S0101_C01_025E","Total!!Estimate!!SELECTED AGE CATEGORIES!!18 years and over"
"S0101_C01_025M","Total!!Margin of Error!!SELECTED AGE CATEGORIES!!18 years and over"
"S0101_C01_025MA","Annotation of Total!!Margin of Error!!SELECTED AGE CATEGORIES!!18 years and over"
"S0101_C01_025EA","Annotation of Total!!Estimate!!SELECTED AGE CATEGORIES!!18 years and over"
"S0101_C02_025E","Male!!Estimate!!SELECTED AGE CATEGORIES!!18 years and over"
"S0101_C02_025M","Male!!Margin of Error!!SELECTED AGE CATEGORIES!!18 years and over"
"S0101_C02_025MA","Annotation of Male!!Margin of Error!!SELECTED AGE CATEGORIES!!18 years and over"
"S0101_C02_025EA","Annotation of Male!!Estimate!!SELECTED AGE CATEGORIES!!18 years and over"
"S0101_C03_025E","Female!!Estimate!!SELECTED AGE CATEGORIES!!18 years and over"
"S0101_C03_025EA","Annotation of Female!!Estimate!!SELECTED AGE CATEGORIES!!18 years and over"
"S0101_C03_025M","Female!!Margin of Error!!SELECTED AGE CATEGORIES!!18 years and over"
"S0101_C03_025MA","Annotation of Female!!Margin of Error!!SELECTED AGE CATEGORIES!!18 years and over"
"S0101_C01_026E","Total!!Estimate!!SELECTED AGE CATEGORIES!!60 years and over"
"S0101_C01_026M","Total!!Margin of Error!!SELECTED AGE CATEGORIES!!60 years and over"
"S0101_C01_026MA","Annotation of Total!!Margin of Error!!SELECTED AGE CATEGORIES!!60 years and over"
"S0101_C01_026EA","Annotation of Total!!Estimate!!SELECTED AGE CATEGORIES!!60 years and over"
"S0101_C02_026E","Male!!Estimate!!SELECTED AGE CATEGORIES!!60 years and over"
"S0101_C02_026M","Male!!Margin of Error!!SELECTED AGE CATEGORIES!!60 years and over"
"S0101_C02_026MA","Annotation of Male!!Margin of Error!!SELECTED AGE CATEGORIES!!60 years and over"
"S0101_C02_026EA","Annotation of Male!!Estimate!!SELECTED AGE CATEGORIES!!60 years and over"
"S0101_C03_026E","Female!!Estimate!!SELECTED AGE CATEGORIES!!60 years and over"
"S0101_C03_026EA","Annotation of Female!!Estimate!!SELECTED AGE CATEGORIES!!60 years and over"
"S0101_C03_026M","Female!!Margin of Error!!SELECTED AGE CATEGORIES!!60 years and over"
"S0101_C03_026MA","Annotation of Female!!Margin of Error!!SELECTED AGE CATEGORIES!!60 years and over"
"S0101_C01_027E","Total!!Estimate!!SELECTED AGE CATEGORIES!!62 years and over"
"S0101_C01_027M","Total!!Margin of Error!!SELECTED AGE CATEGORIES!!62 years and over"
"S0101_C01_027MA","Annotation of Total!!Margin of Error!!SELECTED AGE CATEGORIES!!62 years and over"
"S0101_C01_027EA","Annotation of Total!!Estimate!!SELECTED AGE CATEGORIES!!62 years and over"
"S0101_C02_027E","Male!!Estimate!!SELECTED AGE CATEGORIES!!62 years and over"
"S0101_C02_027M","Male!!Margin of Error!!SELECTED AGE CATEGORIES!!62 years and over"
"S0101_C02_027MA","Annotation of Male!!Margin of Error!!SELECTED AGE CATEGORIES!!62 years and over"
"S0101_C02_027EA","Annotation of Male!!Estimate!!SELECTED AGE CATEGORIES!!62 years and over"
"S0101_C03_027E","Female!!Estimate!!SELECTED AGE CATEGORIES!!62 years and over"
"S0101_C03_027EA","Annotation of Female!!Estimate!!SELECTED AGE CATEGORIES!!62 years and over"
"S0101_C03_027M","Female!!Margin of Error!!SELECTED AGE CATEGORIES!!62 years and over"
"S0101_C03_027MA","Annotation of Female!!Margin of Error!!SELECTED AGE CATEGORIES!!62 years and over"
"S0101_C01_028E","Total!!Estimate!!SELECTED AGE CATEGORIES!!65 years and over"
"S0101_C01_028M","Total!!Margin of Error!!SELECTED AGE CATEGORIES!!65 years and over"
"S0101_C01_028MA","Annotation of Total!!Margin of Error!!SELECTED AGE CATEGORIES!!65 years and over"
"S0101_C01_028EA","Annotation of Total!!Estimate!!SELECTED AGE CATEGORIES!!65 years and over"
"S0101_C02_028E","Male!!Estimate!!SELECTED AGE CATEGORIES!!65 years and over"
"S0101_C02_028M","Male!!Margin of Error!!SELECTED AGE CATEGORIES!!65 years and over"
"S0101_C02_028MA","Annotation of Male!!Margin of Error!!SELECTED AGE CATEGORIES!!65 years and over"
